K,alpha,beta,nu,max_L,p(D|K),n_comp,new p(D|K)
2,0.001,0.05,1.5,-436.913,-436.22,2,-436.2198528
2,0.001,0.05,2,-433.717,-433.024,2,-433.0238528
2,0.001,0.05,2.5,-431.42,-430.727,2,-430.7268528
2,0.001,0.05,3,-429.603,-428.91,2,-428.9098528
2,0.001,0.05,3.5,-428.109,-427.416,2,-427.4158528
2,0.001,0.05,4,-426.859,-426.166,2,-426.1658528
2,0.001,0.05,4.5,-425.803,-425.11,2,-425.1098528
2,0.001,0.05,5,-424.91,-424.217,2,-424.2168528
2,0.001,0.05,5.5,-424.155,-423.462,2,-423.4618528
2,0.001,0.05,6,-423.521,-422.827,2,-422.8278528
2,0.001,0.05,6.5,-422.993,-422.3,2,-422.2998528
2,0.001,0.05,7,-422.562,-421.869,2,-421.8688528
2,0.001,0.05,7.5,-422.218,-421.525,2,-421.5248528
2,0.001,0.05,8,-421.953,-421.26,2,-421.2598528
2,0.001,0.05,8.5,-421.761,-421.068,2,-421.0678528
2,0.001,0.05,9,-421.637,-420.944,2,-420.9438528
2,0.001,0.05,9.5,-421.575,-420.882,2,-420.8818528
2,0.001,0.05,10,-421.573,-420.879,2,-420.8798528
2,0.001,0.05,10.5,-421.625,-420.932,2,-420.9318528
2,0.001,0.05,11,-421.729,-421.036,2,-421.0358528
2,0.001,0.1,1.5,-436.319,-435.626,2,-435.6258528
2,0.001,0.1,2,-433.127,-432.434,2,-432.4338528
2,0.001,0.1,2.5,-430.834,-430.141,2,-430.1408528
2,0.001,0.1,3,-429.02,-428.327,2,-428.3268528
2,0.001,0.1,3.5,-427.53,-426.837,2,-426.8368528
2,0.001,0.1,4,-426.284,-425.591,2,-425.5908528
2,0.001,0.1,4.5,-425.232,-424.539,2,-424.5388528
2,0.001,0.1,5,-424.343,-423.65,2,-423.6498528
2,0.001,0.1,5.5,-423.592,-422.899,2,-422.8988528
2,0.001,0.1,6,-422.961,-422.268,2,-422.2678528
2,0.001,0.1,6.5,-422.438,-421.745,2,-421.7448528
2,0.001,0.1,7,-422.011,-421.318,2,-421.3178528
2,0.001,0.1,7.5,-421.67,-420.977,2,-420.9768528
2,0.001,0.1,8,-421.409,-420.716,2,-420.7158528
2,0.001,0.1,8.5,-421.221,-420.528,2,-420.5278528
2,0.001,0.1,9,-421.101,-420.408,2,-420.4078528
2,0.001,0.1,9.5,-421.043,-420.35,2,-420.3498528
2,0.001,0.1,10,-421.044,-420.351,2,-420.3508528
2,0.001,0.1,10.5,-421.101,-420.407,2,-420.4078528
2,0.001,0.1,11,-421.208,-420.515,2,-420.5148528
2,0.001,0.15,1.5,-436.289,-435.596,2,-435.5958528
2,0.001,0.15,2,-433.101,-432.408,2,-432.4078528
2,0.001,0.15,2.5,-430.812,-430.119,2,-430.1188528
2,0.001,0.15,3,-429.002,-428.309,2,-428.3088528
2,0.001,0.15,3.5,-427.516,-426.823,2,-426.8228528
2,0.001,0.15,4,-426.273,-425.58,2,-425.5798528
2,0.001,0.15,4.5,-425.226,-424.532,2,-424.5328528
2,0.001,0.15,5,-424.34,-423.647,2,-423.6468528
2,0.001,0.15,5.5,-423.592,-422.899,2,-422.8988528
2,0.001,0.15,6,-422.966,-422.273,2,-422.2728528
2,0.001,0.15,6.5,-422.446,-421.753,2,-421.7528528
2,0.001,0.15,7,-422.023,-421.33,2,-421.3298528
2,0.001,0.15,7.5,-421.686,-420.993,2,-420.9928528
2,0.001,0.15,8,-421.429,-420.736,2,-420.7358528
2,0.001,0.15,8.5,-421.245,-420.552,2,-420.5518528
2,0.001,0.15,9,-421.128,-420.435,2,-420.4348528
2,0.001,0.15,9.5,-421.075,-420.382,2,-420.3818528
2,0.001,0.15,10,-421.08,-420.386,2,-420.3868528
2,0.001,0.15,10.5,-421.14,-420.446,2,-420.4468528
2,0.001,0.15,11,-421.251,-420.558,2,-420.5578528
2,0.001,0.2,1.5,-436.484,-435.791,2,-435.7908528
2,0.001,0.2,2,-433.3,-432.607,2,-432.6068528
2,0.001,0.2,2.5,-431.014,-430.321,2,-430.3208528
2,0.001,0.2,3,-429.208,-428.515,2,-428.5148528
2,0.001,0.2,3.5,-427.726,-427.033,2,-427.0328528
2,0.001,0.2,4,-426.487,-425.794,2,-425.7938528
2,0.001,0.2,4.5,-425.443,-424.75,2,-424.7498528
2,0.001,0.2,5,-424.561,-423.868,2,-423.8678528
2,0.001,0.2,5.5,-423.818,-423.125,2,-423.1248528
2,0.001,0.2,6,-423.195,-422.502,2,-422.5018528
2,0.001,0.2,6.5,-422.679,-421.986,2,-421.9858528
2,0.001,0.2,7,-422.26,-421.566,2,-421.5668528
2,0.001,0.2,7.5,-421.927,-421.234,2,-421.2338528
2,0.001,0.2,8,-421.673,-420.98,2,-420.9798528
2,0.001,0.2,8.5,-421.493,-420.8,2,-420.7998528
2,0.001,0.2,9,-421.38,-420.687,2,-420.6868528
2,0.001,0.2,9.5,-421.33,-420.637,2,-420.6368528
2,0.001,0.2,10,-421.339,-420.646,2,-420.6458528
2,0.001,0.2,10.5,-421.403,-420.709,2,-420.7098528
2,0.001,0.2,11,-421.518,-420.825,2,-420.8248528
2,0.001,0.25,1.5,-436.798,-436.105,2,-436.1048528
2,0.001,0.25,2,-433.617,-432.924,2,-432.9238528
2,0.001,0.25,2.5,-431.336,-430.642,2,-430.6428528
2,0.001,0.25,3,-429.533,-428.84,2,-428.8398528
2,0.001,0.25,3.5,-428.055,-427.361,2,-427.3618528
2,0.001,0.25,4,-426.82,-426.126,2,-426.1268528
2,0.001,0.25,4.5,-425.779,-425.086,2,-425.0858528
2,0.001,0.25,5,-424.901,-424.208,2,-424.2078528
2,0.001,0.25,5.5,-424.161,-423.468,2,-423.4678528
2,0.001,0.25,6,-423.542,-422.849,2,-422.8488528
2,0.001,0.25,6.5,-423.03,-422.337,2,-422.3368528
2,0.001,0.25,7,-422.614,-421.921,2,-421.9208528
2,0.001,0.25,7.5,-422.285,-421.592,2,-421.5918528
2,0.001,0.25,8,-422.035,-421.342,2,-421.3418528
2,0.001,0.25,8.5,-421.859,-421.166,2,-421.1658528
2,0.001,0.25,9,-421.75,-421.057,2,-421.0568528
2,0.001,0.25,9.5,-421.703,-421.01,2,-421.0098528
2,0.001,0.25,10,-421.716,-421.023,2,-421.0228528
2,0.001,0.25,10.5,-421.783,-421.09,2,-421.0898528
2,0.001,0.25,11,-421.903,-421.209,2,-421.2098528
2,0.001,0.3,1.5,-437.183,-436.49,2,-436.4898528
2,0.001,0.3,2,-434.006,-433.313,2,-433.3128528
2,0.001,0.3,2.5,-431.728,-431.035,2,-431.0348528
2,0.001,0.3,3,-429.93,-429.236,2,-429.2368528
2,0.001,0.3,3.5,-428.455,-427.761,2,-427.7618528
2,0.001,0.3,4,-427.223,-426.53,2,-426.5298528
2,0.001,0.3,4.5,-426.187,-425.494,2,-425.4938528
2,0.001,0.3,5,-425.312,-424.619,2,-424.6188528
2,0.001,0.3,5.5,-424.576,-423.883,2,-423.8828528
2,0.001,0.3,6,-423.961,-423.268,2,-423.2678528
2,0.001,0.3,6.5,-423.452,-422.759,2,-422.7588528
2,0.001,0.3,7,-423.04,-422.347,2,-422.3468528
2,0.001,0.3,7.5,-422.715,-422.022,2,-422.0218528
2,0.001,0.3,8,-422.469,-421.775,2,-421.7758528
2,0.001,0.3,8.5,-422.296,-421.603,2,-421.6028528
2,0.001,0.3,9,-422.19,-421.497,2,-421.4968528
2,0.001,0.3,9.5,-422.148,-421.454,2,-421.4548528
2,0.001,0.3,10,-422.164,-421.471,2,-421.4708528
2,0.001,0.3,10.5,-422.235,-421.542,2,-421.5418528
2,0.001,0.3,11,-422.358,-421.665,2,-421.6648528
2,0.001,0.35,1.5,-437.615,-436.922,2,-436.9218528
2,0.001,0.35,2,-434.442,-433.748,2,-433.7488528
2,0.001,0.35,2.5,-432.167,-431.474,2,-431.4738528
2,0.001,0.35,3,-430.372,-429.679,2,-429.6788528
2,0.001,0.35,3.5,-428.901,-428.208,2,-428.2078528
2,0.001,0.35,4,-427.673,-426.98,2,-426.9798528
2,0.001,0.35,4.5,-426.64,-425.947,2,-425.9468528
2,0.001,0.35,5,-425.77,-425.076,2,-425.0768528
2,0.001,0.35,5.5,-425.037,-424.344,2,-424.3438528
2,0.001,0.35,6,-424.425,-423.732,2,-423.7318528
2,0.001,0.35,6.5,-423.921,-423.228,2,-423.2278528
2,0.001,0.35,7,-423.512,-422.819,2,-422.8188528
2,0.001,0.35,7.5,-423.19,-422.497,2,-422.4968528
2,0.001,0.35,8,-422.948,-422.255,2,-422.2548528
2,0.001,0.35,8.5,-422.778,-422.085,2,-422.0848528
2,0.001,0.35,9,-422.677,-421.983,2,-421.9838528
2,0.001,0.35,9.5,-422.638,-421.944,2,-421.9448528
2,0.001,0.35,10,-422.657,-421.964,2,-421.9638528
2,0.001,0.35,10.5,-422.732,-422.039,2,-422.0388528
2,0.001,0.35,11,-422.859,-422.165,2,-422.1658528
2,0.001,0.4,1.5,-438.078,-437.385,2,-437.3848528
2,0.001,0.4,2,-434.909,-434.216,2,-434.2158528
2,0.001,0.4,2.5,-432.638,-431.945,2,-431.9448528
2,0.001,0.4,3,-430.847,-430.153,2,-430.1538528
2,0.001,0.4,3.5,-429.379,-428.686,2,-428.6858528
2,0.001,0.4,4,-428.155,-427.462,2,-427.4618528
2,0.001,0.4,4.5,-427.126,-426.432,2,-426.4328528
2,0.001,0.4,5,-426.258,-425.565,2,-425.5648528
2,0.001,0.4,5.5,-425.529,-424.836,2,-424.8358528
2,0.001,0.4,6,-424.921,-424.228,2,-424.2278528
2,0.001,0.4,6.5,-424.42,-423.727,2,-423.7268528
2,0.001,0.4,7,-424.015,-423.322,2,-423.3218528
2,0.001,0.4,7.5,-423.697,-423.004,2,-423.0038528
2,0.001,0.4,8,-423.458,-422.765,2,-422.7648528
2,0.001,0.4,8.5,-423.292,-422.599,2,-422.5988528
2,0.001,0.4,9,-423.194,-422.501,2,-422.5008528
2,0.001,0.4,9.5,-423.159,-422.465,2,-422.4658528
2,0.001,0.4,10,-423.182,-422.489,2,-422.4888528
2,0.001,0.4,10.5,-423.26,-422.567,2,-422.5668528
2,0.001,0.4,11,-423.39,-422.697,2,-422.6968528
2,0.001,0.45,1.5,-438.564,-437.871,2,-437.8708528
2,0.001,0.45,2,-435.398,-434.705,2,-434.7048528
2,0.001,0.45,2.5,-433.131,-432.438,2,-432.4378528
2,0.001,0.45,3,-431.343,-430.65,2,-430.6498528
2,0.001,0.45,3.5,-429.879,-429.186,2,-429.1858528
2,0.001,0.45,4,-428.658,-427.965,2,-427.9648528
2,0.001,0.45,4.5,-427.633,-426.939,2,-426.9398528
2,0.001,0.45,5,-426.769,-426.076,2,-426.0758528
2,0.001,0.45,5.5,-426.043,-425.35,2,-425.3498528
2,0.001,0.45,6,-425.439,-424.746,2,-424.7458528
2,0.001,0.45,6.5,-424.941,-424.248,2,-424.2478528
2,0.001,0.45,7,-424.54,-423.847,2,-423.8468528
2,0.001,0.45,7.5,-424.225,-423.532,2,-423.5318528
2,0.001,0.45,8,-423.99,-423.297,2,-423.2968528
2,0.001,0.45,8.5,-423.828,-423.134,2,-423.1348528
2,0.001,0.45,9,-423.733,-423.04,2,-423.0398528
2,0.001,0.45,9.5,-423.701,-423.008,2,-423.0078528
2,0.001,0.45,10,-423.728,-423.035,2,-423.0348528
2,0.001,0.45,10.5,-423.81,-423.117,2,-423.1168528
2,0.001,0.45,11,-423.943,-423.25,2,-423.2498528
2,0.001,0.5,1.5,-439.066,-438.373,2,-438.3728528
2,0.001,0.5,2,-435.903,-435.21,2,-435.2098528
2,0.001,0.5,2.5,-433.64,-432.946,2,-432.9468528
2,0.001,0.5,3,-431.855,-431.162,2,-431.1618528
2,0.001,0.5,3.5,-430.395,-429.701,2,-429.7018528
2,0.001,0.5,4,-429.177,-428.484,2,-428.4838528
2,0.001,0.5,4.5,-428.155,-427.462,2,-427.4618528
2,0.001,0.5,5,-427.295,-426.602,2,-426.6018528
2,0.001,0.5,5.5,-426.573,-425.88,2,-425.8798528
2,0.001,0.5,6,-425.972,-425.279,2,-425.2788528
2,0.001,0.5,6.5,-425.478,-424.785,2,-424.7848528
2,0.001,0.5,7,-425.08,-424.387,2,-424.3868528
2,0.001,0.5,7.5,-424.769,-424.076,2,-424.0758528
2,0.001,0.5,8,-424.537,-423.844,2,-423.8438528
2,0.001,0.5,8.5,-424.378,-423.685,2,-423.6848528
2,0.001,0.5,9,-424.287,-423.594,2,-423.5938528
2,0.001,0.5,9.5,-424.259,-423.566,2,-423.5658528
2,0.001,0.5,10,-424.289,-423.596,2,-423.5958528
2,0.001,0.5,10.5,-424.374,-423.681,2,-423.6808528
2,0.001,0.5,11,-424.511,-423.818,2,-423.8178528
2,0.001,0.55,1.5,-439.579,-438.885,2,-438.8858528
2,0.001,0.55,2,-436.419,-435.726,2,-435.7258528
2,0.001,0.55,2.5,-434.159,-433.466,2,-433.4658528
2,0.001,0.55,3,-432.378,-431.685,2,-431.6848528
2,0.001,0.55,3.5,-430.921,-430.228,2,-430.2278528
2,0.001,0.55,4,-429.708,-429.015,2,-429.0148528
2,0.001,0.55,4.5,-428.689,-427.996,2,-427.9958528
2,0.001,0.55,5,-427.832,-427.139,2,-427.1388528
2,0.001,0.55,5.5,-427.114,-426.421,2,-426.4208528
2,0.001,0.55,6,-426.516,-425.823,2,-425.8228528
2,0.001,0.55,6.5,-426.026,-425.332,2,-425.3328528
2,0.001,0.55,7,-425.631,-424.938,2,-424.9378528
2,0.001,0.55,7.5,-425.323,-424.63,2,-424.6298528
2,0.001,0.55,8,-425.095,-424.402,2,-424.4018528
2,0.001,0.55,8.5,-424.94,-424.246,2,-424.2468528
2,0.001,0.55,9,-424.852,-424.159,2,-424.1588528
2,0.001,0.55,9.5,-424.827,-424.134,2,-424.1338528
2,0.001,0.55,10,-424.861,-424.168,2,-424.1678528
2,0.001,0.55,10.5,-424.95,-424.256,2,-424.2568528
2,0.001,0.55,11,-425.09,-424.397,2,-424.3968528
2,0.001,0.6,1.5,-440.099,-439.406,2,-439.4058528
2,0.001,0.6,2,-436.944,-436.251,2,-436.2508528
2,0.001,0.6,2.5,-434.687,-433.994,2,-433.9938528
2,0.001,0.6,3,-432.91,-432.216,2,-432.2168528
2,0.001,0.6,3.5,-431.456,-430.763,2,-430.7628528
2,0.001,0.6,4,-430.246,-429.553,2,-429.5528528
2,0.001,0.6,4.5,-429.23,-428.537,2,-428.5368528
2,0.001,0.6,5,-428.377,-427.684,2,-427.6838528
2,0.001,0.6,5.5,-427.662,-426.969,2,-426.9688528
2,0.001,0.6,6,-427.068,-426.375,2,-426.3748528
2,0.001,0.6,6.5,-426.581,-425.887,2,-425.8878528
2,0.001,0.6,7,-426.189,-425.496,2,-425.4958528
2,0.001,0.6,7.5,-425.885,-425.192,2,-425.1918528
2,0.001,0.6,8,-425.66,-424.967,2,-424.9668528
2,0.001,0.6,8.5,-425.508,-424.815,2,-424.8148528
2,0.001,0.6,9,-425.424,-424.731,2,-424.7308528
2,0.001,0.6,9.5,-425.403,-424.709,2,-424.7098528
2,0.001,0.6,10,-425.44,-424.747,2,-424.7468528
2,0.001,0.6,10.5,-425.532,-424.839,2,-424.8388528
2,0.001,0.6,11,-425.676,-424.983,2,-424.9828528
2,0.001,0.65,1.5,-440.626,-439.933,2,-439.9328528
2,0.001,0.65,2,-437.473,-436.78,2,-436.7798528
2,0.001,0.65,2.5,-435.22,-434.527,2,-434.5268528
2,0.001,0.65,3,-433.446,-432.753,2,-432.7528528
2,0.001,0.65,3.5,-431.996,-431.303,2,-431.3028528
2,0.001,0.65,4,-430.789,-430.096,2,-430.0958528
2,0.001,0.65,4.5,-429.777,-429.084,2,-429.0838528
2,0.001,0.65,5,-428.927,-428.234,2,-428.2338528
2,0.001,0.65,5.5,-428.215,-427.522,2,-427.5218528
2,0.001,0.65,6,-427.625,-426.932,2,-426.9318528
2,0.001,0.65,6.5,-427.141,-426.448,2,-426.4478528
2,0.001,0.65,7,-426.753,-426.06,2,-426.0598528
2,0.001,0.65,7.5,-426.452,-425.759,2,-425.7588528
2,0.001,0.65,8,-426.231,-425.538,2,-425.5378528
2,0.001,0.65,8.5,-426.082,-425.389,2,-425.3888528
2,0.001,0.65,9,-426.001,-425.308,2,-425.3078528
2,0.001,0.65,9.5,-425.983,-425.29,2,-425.2898528
2,0.001,0.65,10,-426.024,-425.331,2,-425.3308528
2,0.001,0.65,10.5,-426.119,-425.426,2,-425.4258528
2,0.001,0.65,11,-426.267,-425.573,2,-425.5738528
2,0.001,0.7,1.5,-441.156,-440.463,2,-440.4628528
2,0.001,0.7,2,-438.007,-437.314,2,-437.3138528
2,0.001,0.7,2.5,-435.757,-435.064,2,-435.0638528
2,0.001,0.7,3,-433.986,-433.293,2,-433.2928528
2,0.001,0.7,3.5,-432.539,-431.846,2,-431.8458528
2,0.001,0.7,4,-431.336,-430.643,2,-430.6428528
2,0.001,0.7,4.5,-430.327,-429.634,2,-429.6338528
2,0.001,0.7,5,-429.481,-428.787,2,-428.7878528
2,0.001,0.7,5.5,-428.772,-428.079,2,-428.0788528
2,0.001,0.7,6,-428.185,-427.492,2,-427.4918528
2,0.001,0.7,6.5,-427.704,-427.011,2,-427.0108528
2,0.001,0.7,7,-427.32,-426.627,2,-426.6268528
2,0.001,0.7,7.5,-427.022,-426.329,2,-426.3288528
2,0.001,0.7,8,-426.804,-426.111,2,-426.1108528
2,0.001,0.7,8.5,-426.659,-425.966,2,-425.9658528
2,0.001,0.7,9,-426.582,-425.888,2,-425.8888528
2,0.001,0.7,9.5,-426.567,-425.874,2,-425.8738528
2,0.001,0.7,10,-426.611,-425.918,2,-425.9178528
2,0.001,0.7,10.5,-426.71,-426.016,2,-426.0168528
2,0.001,0.7,11,-426.86,-426.167,2,-426.1668528
2,0.001,0.75,1.5,-441.688,-440.995,2,-440.9948528
2,0.001,0.75,2,-438.542,-437.849,2,-437.8488528
2,0.001,0.75,2.5,-436.296,-435.603,2,-435.6028528
2,0.001,0.75,3,-434.528,-433.835,2,-433.8348528
2,0.001,0.75,3.5,-433.085,-432.392,2,-432.3918528
2,0.001,0.75,4,-431.885,-431.192,2,-431.1918528
2,0.001,0.75,4.5,-430.879,-430.186,2,-430.1858528
2,0.001,0.75,5,-430.036,-429.343,2,-429.3428528
2,0.001,0.75,5.5,-429.331,-428.638,2,-428.6378528
2,0.001,0.75,6,-428.747,-428.054,2,-428.0538528
2,0.001,0.75,6.5,-428.27,-427.577,2,-427.5768528
2,0.001,0.75,7,-427.889,-427.196,2,-427.1958528
2,0.001,0.75,7.5,-427.595,-426.901,2,-426.9018528
2,0.001,0.75,8,-427.38,-426.686,2,-426.6868528
2,0.001,0.75,8.5,-427.238,-426.545,2,-426.5448528
2,0.001,0.75,9,-427.164,-426.47,2,-426.4708528
2,0.001,0.75,9.5,-427.152,-426.459,2,-426.4588528
2,0.001,0.75,10,-427.199,-426.506,2,-426.5058528
2,0.001,0.75,10.5,-427.301,-426.608,2,-426.6078528
2,0.001,0.75,11,-427.455,-426.762,2,-426.7618528
2,0.001,0.8,1.5,-442.221,-441.528,2,-441.5278528
2,0.001,0.8,2,-439.079,-438.386,2,-438.3858528
2,0.001,0.8,2.5,-436.836,-436.143,2,-436.1428528
2,0.001,0.8,3,-435.072,-434.378,2,-434.3788528
2,0.001,0.8,3.5,-433.631,-432.938,2,-432.9378528
2,0.001,0.8,4,-432.434,-431.741,2,-431.7408528
2,0.001,0.8,4.5,-431.432,-430.739,2,-430.7388528
2,0.001,0.8,5,-430.592,-429.899,2,-429.8988528
2,0.001,0.8,5.5,-429.891,-429.198,2,-429.1978528
2,0.001,0.8,6,-429.31,-428.617,2,-428.6168528
2,0.001,0.8,6.5,-428.836,-428.143,2,-428.1428528
2,0.001,0.8,7,-428.458,-427.765,2,-427.7648528
2,0.001,0.8,7.5,-428.167,-427.474,2,-427.4738528
2,0.001,0.8,8,-427.956,-427.262,2,-427.2628528
2,0.001,0.8,8.5,-427.817,-427.124,2,-427.1238528
2,0.001,0.8,9,-427.746,-427.053,2,-427.0528528
2,0.001,0.8,9.5,-427.738,-427.045,2,-427.0448528
2,0.001,0.8,10,-427.788,-427.095,2,-427.0948528
2,0.001,0.8,10.5,-427.894,-427.201,2,-427.2008528
2,0.001,0.8,11,-428.051,-427.358,2,-427.3578528
2,0.001,0.85,1.5,-442.755,-442.062,2,-442.0618528
2,0.001,0.85,2,-439.616,-438.923,2,-438.9228528
2,0.001,0.85,2.5,-437.376,-436.683,2,-436.6828528
2,0.001,0.85,3,-435.615,-434.922,2,-434.9218528
2,0.001,0.85,3.5,-434.178,-433.485,2,-433.4848528
2,0.001,0.85,4,-432.984,-432.291,2,-432.2908528
2,0.001,0.85,4.5,-431.985,-431.292,2,-431.2918528
2,0.001,0.85,5,-431.149,-430.456,2,-430.4558528
2,0.001,0.85,5.5,-430.45,-429.757,2,-429.7568528
2,0.001,0.85,6,-429.873,-429.18,2,-429.1798528
2,0.001,0.85,6.5,-429.402,-428.709,2,-428.7088528
2,0.001,0.85,7,-429.027,-428.334,2,-428.3338528
2,0.001,0.85,7.5,-428.74,-428.047,2,-428.0468528
2,0.001,0.85,8,-428.531,-427.838,2,-427.8378528
2,0.001,0.85,8.5,-428.396,-427.703,2,-427.7028528
2,0.001,0.85,9,-428.328,-427.635,2,-427.6348528
2,0.001,0.85,9.5,-428.323,-427.63,2,-427.6298528
2,0.001,0.85,10,-428.377,-427.684,2,-427.6838528
2,0.001,0.85,10.5,-428.486,-427.793,2,-427.7928528
2,0.001,0.85,11,-428.646,-427.953,2,-427.9528528
2,0.001,0.9,1.5,-443.288,-442.595,2,-442.5948528
2,0.001,0.9,2,-440.152,-439.459,2,-439.4588528
2,0.001,0.9,2.5,-437.915,-437.222,2,-437.2218528
2,0.001,0.9,3,-436.158,-435.464,2,-435.4648528
2,0.001,0.9,3.5,-434.724,-434.031,2,-434.0308528
2,0.001,0.9,4,-433.533,-432.84,2,-432.8398528
2,0.001,0.9,4.5,-432.538,-431.845,2,-431.8448528
2,0.001,0.9,5,-431.704,-431.011,2,-431.0108528
2,0.001,0.9,5.5,-431.009,-430.316,2,-430.3158528
2,0.001,0.9,6,-430.435,-429.742,2,-429.7418528
2,0.001,0.9,6.5,-429.967,-429.274,2,-429.2738528
2,0.001,0.9,7,-429.596,-428.903,2,-428.9028528
2,0.001,0.9,7.5,-429.311,-428.618,2,-428.6178528
2,0.001,0.9,8,-429.106,-428.413,2,-428.4128528
2,0.001,0.9,8.5,-428.974,-428.281,2,-428.2808528
2,0.001,0.9,9,-428.909,-428.216,2,-428.2158528
2,0.001,0.9,9.5,-428.908,-428.215,2,-428.2148528
2,0.001,0.9,10,-428.965,-428.271,2,-428.2718528
2,0.001,0.9,10.5,-429.076,-428.383,2,-428.3828528
2,0.001,0.9,11,-429.24,-428.547,2,-428.5468528
2,0.001,0.95,1.5,-443.82,-443.127,2,-443.1268528
2,0.001,0.95,2,-440.687,-439.994,2,-439.9938528
2,0.001,0.95,2.5,-438.454,-437.76,2,-437.7608528
2,0.001,0.95,3,-436.699,-436.006,2,-436.0058528
2,0.001,0.95,3.5,-435.268,-434.575,2,-434.5748528
2,0.001,0.95,4,-434.081,-433.388,2,-433.3878528
2,0.001,0.95,4.5,-433.089,-432.396,2,-432.3958528
2,0.001,0.95,5,-432.258,-431.565,2,-431.5648528
2,0.001,0.95,5.5,-431.566,-430.873,2,-430.8728528
2,0.001,0.95,6,-430.995,-430.302,2,-430.3018528
2,0.001,0.95,6.5,-430.531,-429.838,2,-429.8378528
2,0.001,0.95,7,-430.163,-429.47,2,-429.4698528
2,0.001,0.95,7.5,-429.881,-429.188,2,-429.1878528
2,0.001,0.95,8,-429.679,-428.986,2,-428.9858528
2,0.001,0.95,8.5,-429.55,-428.857,2,-428.8568528
2,0.001,0.95,9,-429.489,-428.796,2,-428.7958528
2,0.001,0.95,9.5,-429.49,-428.797,2,-428.7968528
2,0.001,0.95,10,-429.55,-428.857,2,-428.8568528
2,0.001,0.95,10.5,-429.666,-428.972,2,-428.9728528
2,0.001,0.95,11,-429.832,-429.139,2,-429.1388528
2,0.001,1,1.5,-444.35,-443.657,2,-443.6568528
2,0.001,1,2,-441.221,-440.528,2,-440.5278528
2,0.001,1,2.5,-438.99,-438.297,2,-438.2968528
2,0.001,1,3,-437.239,-436.546,2,-436.5458528
2,0.001,1,3.5,-435.811,-435.118,2,-435.1178528
2,0.001,1,4,-434.627,-433.934,2,-433.9338528
2,0.001,1,4.5,-433.638,-432.945,2,-432.9448528
2,0.001,1,5,-432.811,-432.118,2,-432.1178528
2,0.001,1,5.5,-432.122,-431.429,2,-431.4288528
2,0.001,1,6,-431.554,-430.861,2,-430.8608528
2,0.001,1,6.5,-431.093,-430.4,2,-430.3998528
2,0.001,1,7,-430.728,-430.034,2,-430.0348528
2,0.001,1,7.5,-430.449,-429.756,2,-429.7558528
2,0.001,1,8,-430.251,-429.557,2,-429.5578528
2,0.001,1,8.5,-430.125,-429.432,2,-429.4318528
2,0.001,1,9,-430.066,-429.373,2,-429.3728528
2,0.001,1,9.5,-430.071,-429.378,2,-429.3778528
2,0.001,1,10,-430.134,-429.441,2,-429.4408528
2,0.001,1,10.5,-430.252,-429.559,2,-429.5588528
2,0.001,1,11,-430.422,-429.729,2,-429.7288528
3,0.001,0.05,1.5,-437.325,-435.533,2,-435.5332405
3,0.001,0.05,2,-434.129,-432.337,2,-432.3372405
3,0.001,0.05,2.5,-431.832,-430.04,2,-430.0402405
3,0.001,0.05,3,-430.014,-428.223,2,-428.2222405
3,0.001,0.05,3.5,-438.101,-436.309,3,-436.3092405
3,0.001,0.05,4,-427.27,-425.479,2,-425.4782405
3,0.001,0.05,4.5,-426.215,-424.423,2,-424.4232405
3,0.001,0.05,5,-425.321,-423.53,2,-423.5292405
3,0.001,0.05,5.5,-424.566,-422.775,2,-422.7742405
3,0.001,0.05,6,-423.932,-422.141,2,-422.1402405
3,0.001,0.05,6.5,-423.405,-421.613,2,-421.6132405
3,0.001,0.05,7,-422.974,-421.182,2,-421.1822405
3,0.001,0.05,7.5,-422.63,-420.838,2,-420.8382405
3,0.001,0.05,8,-422.365,-420.573,2,-420.5732405
3,0.001,0.05,8.5,-422.173,-420.381,2,-420.3812405
3,0.001,0.05,9,-422.048,-420.257,2,-420.2562405
3,0.001,0.05,9.5,-428.351,-426.559,3,-426.5592405
3,0.001,0.05,10,-421.984,-420.193,2,-420.1922405
3,0.001,0.05,10.5,-422.037,-420.245,2,-420.2452405
3,0.001,0.05,11,-422.141,-420.349,2,-420.3492405
3,0.001,0.1,1.5,-436.731,-434.939,2,-434.9392405
3,0.001,0.1,2,-433.539,-431.747,2,-431.7472405
3,0.001,0.1,2.5,-431.246,-429.454,2,-429.4542405
3,0.001,0.1,3,-429.432,-427.64,2,-427.6402405
3,0.001,0.1,3.5,-427.942,-426.15,2,-426.1502405
3,0.001,0.1,4,-426.696,-424.904,2,-424.9042405
3,0.001,0.1,4.5,-425.644,-423.852,2,-423.8522405
3,0.001,0.1,5,-424.754,-422.963,2,-422.9622405
3,0.001,0.1,5.5,-424.003,-422.212,2,-422.2112405
3,0.001,0.1,6,-423.373,-421.581,2,-421.5812405
3,0.001,0.1,6.5,-429.927,-428.136,3,-428.1352405
3,0.001,0.1,7,-422.422,-420.631,2,-420.6302405
3,0.001,0.1,7.5,-422.082,-420.29,2,-420.2902405
3,0.001,0.1,8,-421.821,-420.029,2,-420.0292405
3,0.001,0.1,8.5,-421.633,-419.841,2,-419.8412405
3,0.001,0.1,9,-421.512,-419.721,2,-419.7202405
3,0.001,0.1,9.5,-421.455,-419.663,2,-419.6632405
